,Number of Substitutions,Maintained,Maintained,Adverse->rheostat,Adverse->rheostat,Rheostat->toggle,Rheostat->toggle,Rheostat->adverse,Rheostat->adverse,Rheostat->moderate,Rheostat->moderate,Rheostat->neutral,Rheostat->neutral,Toggle->rheostat,Toggle->rheostat,Moderate->neutral,Moderate->neutral,Rep,Rep,Neutral->rheostat,Neutral->rheostat,Adverse->toggle,Adverse->toggle,Moderate->rheostat,Moderate->rheostat,Neutral->moderate,Neutral->moderate,Toggle->adverse,Toggle->adverse,Adverse->moderate,Adverse->moderate,Toggle->moderate,Toggle->moderate,Moderate->adverse,Moderate->adverse,Rheostat->WT/inactive,Rheostat->WT/inactive,Adverse->WT/inactive,Adverse->WT/inactive,Toggle->WT/inactive,Toggle->WT/inactive,Moderate->WT/inactive,Moderate->WT/inactive
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
0,5,0.82,0.024037008503093236,0.018,0.009189365834726813,0.023,0.014181364924121765,0.01,0.010540925533894597,0.006,0.0051639777949432225,0.005,0.0052704627669473,0.034999999999999996,0.012692955176439848,0.007000000000000001,0.008232726023485647,4.5,3.0276503540974917,0.024,0.017126976771553504,0.017,0.009486832980505138,0.01,0.008164965809277261,0.006,0.010749676997731399,0.007000000000000001,0.008232726023485647,0.001,0.0031622776601683794,0.001,0.0031622776601683794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,0.8230000000000001,0.03529242915351047,0.002,0.004216370213557839,0.04,0.015634719199411434,0.015,0.008498365855987974,0.006,0.006992058987801012,0.004,0.0051639777949432225,0.009,0.011005049346146118,0.002,0.0042163702135578395,4.5,3.0276503540974917,0.029000000000000005,0.01286683937707919,0.025,0.005270462766947297,0.015,0.005270462766947301,0.012,0.006324555320336759,0.004,0.0051639777949432225,0.001,0.00316227766016838,0.003,0.00483045891539648,0.001,0.0031622776601683794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,7,0.819,0.015238839267549912,0.008,0.0042163702135578395,0.028000000000000004,0.009189365834726815,0.021,0.017288403306519918,0.011,0.008755950357709132,0.014000000000000002,0.01264911064067352,0.012,0.010327955589886445,0.009,0.005676462121975467,4.5,3.0276503540974917,0.003,0.00483045891539648,0.022,0.006324555320336759,0.004,0.0051639777949432225,0.006,0.006992058987801011,0.009,0.009944289260117532,0.0,0.0,0.0,0.0,0.001,0.0031622776601683794,0.008,0.007888106377466154,0.004,0.0051639777949432225,0.009,0.008755950357709132,0.002,0.0042163702135578395
3,8,0.805,0.015092308563562341,0.003,0.00483045891539648,0.018,0.010327955589886445,0.053000000000000005,0.01636391694484477,0.011,0.009944289260117532,0.004,0.0051639777949432225,0.009,0.009944289260117532,0.009,0.007378647873726219,4.5,3.0276503540974917,0.007000000000000001,0.008232726023485647,0.016,0.006992058987801012,0.0,0.0,0.007000000000000001,0.006749485577105529,0.04,0.011547005383792516,0.001,0.00316227766016838,0.0,0.0,0.003,0.00483045891539648,0.001,0.0031622776601683794,0.002,0.0042163702135578395,0.001,0.00316227766016838,0.0,0.0
4,9,0.834,0.029514591494904853,0.003,0.00483045891539648,0.020999999999999998,0.008755950357709132,0.041,0.015951314818673866,0.012,0.010327955589886445,0.005,0.0052704627669473,0.002,0.0042163702135578395,0.006,0.0051639777949432225,4.5,3.0276503540974917,0.007000000000000001,0.008232726023485647,0.024,0.005163977794943222,0.008,0.007888106377466154,0.009,0.005676462121975467,0.013000000000000001,0.010593499054713802,0.003,0.00483045891539648,0.0,0.0,0.001,0.00316227766016838,0.001,0.00316227766016838,0.001,0.00316227766016838,0.0,0.0,0.0,0.0
5,10,0.857,0.025407785333546033,0.002,0.0042163702135578395,0.009,0.009944289260117532,0.048,0.009189365834726815,0.005,0.007071067811865475,0.008,0.0042163702135578395,0.007000000000000001,0.00948683298050514,0.009,0.0073786478737262184,4.5,3.0276503540974917,0.001,0.00316227766016838,0.018,0.009189365834726815,0.008,0.006324555320336759,0.002,0.004216370213557839,0.018,0.013984117975602022,0.001,0.00316227766016838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,11,0.868,0.020976176963403065,0.003,0.00483045891539648,0.006,0.00699205898780101,0.045,0.015092308563562362,0.002,0.0042163702135578395,0.003,0.006749485577105529,0.006,0.006992058987801011,0.007000000000000001,0.0067494855771055295,4.5,3.0276503540974917,0.004,0.0051639777949432225,0.012,0.010327955589886445,0.01,0.004714045207910317,0.003,0.0067494855771055295,0.023,0.016363916944844768,0.0,0.0,0.0,0.0,0.001,0.00316227766016838,0.0,0.0,0.001,0.00316227766016838,0.001,0.0031622776601683794,0.0,0.0
7,12,0.8880000000000001,0.015491933384829683,0.001,0.00316227766016838,0.011,0.009944289260117532,0.034999999999999996,0.007071067811865475,0.003,0.0067494855771055295,0.001,0.0031622776601683794,0.004,0.006992058987801011,0.003,0.00483045891539648,4.5,3.0276503540974917,0.007000000000000001,0.00483045891539648,0.017,0.008232726023485645,0.015,0.007071067811865475,0.002,0.0042163702135578395,0.008,0.007888106377466154,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0042163702135578395,0.002,0.0042163702135578395,0.0,0.0,0.0,0.0
8,13,0.8880000000000001,0.03011090610836323,0.003,0.00483045891539648,0.007000000000000001,0.006749485577105529,0.037,0.011595018087284059,0.001,0.0031622776601683794,0.0,0.0,0.003,0.00483045891539648,0.001,0.00316227766016838,4.5,3.0276503540974917,0.01,0.010540925533894598,0.014000000000000002,0.008432740427115679,0.017,0.00483045891539648,0.005,0.007071067811865475,0.011,0.009944289260117534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,14,0.909,0.01595131481867389,0.0,0.0,0.007000000000000001,0.0067494855771055295,0.031,0.0031622776601683794,0.004,0.006992058987801011,0.003,0.004830458915396479,0.002,0.0042163702135578395,0.008,0.00632455532033676,4.5,3.0276503540974917,0.001,0.0031622776601683794,0.02,0.006666666666666666,0.011,0.007378647873726219,0.0,0.0,0.004,0.0051639777949432225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,15,0.907,0.009486832980505145,0.0,0.0,0.006,0.00699205898780101,0.032,0.007888106377466156,0.001,0.00316227766016838,0.003,0.00483045891539648,0.002,0.0042163702135578395,0.004,0.0051639777949432225,4.5,3.0276503540974917,0.002,0.004216370213557839,0.02,0.00816496580927726,0.014000000000000002,0.0051639777949432225,0.0,0.0,0.009,0.0073786478737262184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,16,0.9189999999999999,0.012866839377079178,0.0,0.0,0.003,0.00483045891539648,0.031,0.0073786478737262184,0.0,0.0,0.0,0.0,0.006,0.0051639777949432225,0.004,0.0051639777949432225,4.5,3.0276503540974917,0.004,0.0051639777949432225,0.014000000000000002,0.0051639777949432225,0.016,0.0051639777949432225,0.0,0.0,0.003,0.00483045891539648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,17,0.9200000000000002,0.008164965809277228,0.0,0.0,0.006,0.00699205898780101,0.027000000000000003,0.004830458915396479,0.0,0.0,0.001,0.0031622776601683794,0.0,0.0,0.005,0.0052704627669473,4.5,3.0276503540974917,0.0,0.0,0.026000000000000002,0.006992058987801009,0.015,0.005270462766947299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,18,0.932,0.006324555320336719,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0042163702135578395,4.5,3.0276503540974917,0.0,0.0,0.018,0.006324555320336759,0.018,0.0042163702135578395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,19,0.9399999999999998,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,3.0276503540974917,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,20,0.9399999999999998,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,3.0276503540974917,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
